Ticker,Name
ISRG UW Equity,Intuitive Surgical Inc
TTWO UW Equity,Take-Two Interactive Software Inc
RSG UN Equity,Republic Services Inc
GS UN Equity,Goldman Sachs Group Inc/The
MCO UN Equity,Moody's Corp
ON UW Equity,ON Semiconductor Corp
FFIV UW Equity,F5 Inc
TECH UW Equity,Bio-Techne Corp
GOOGL UW Equity,Alphabet Inc
TFX UN Equity,Teleflex Inc
NFLX UW Equity,Netflix Inc
A UN Equity,Agilent Technologies Inc
TRMB UW Equity,Trimble Inc
DTE UN Equity,DTE Energy Co
CE UN Equity,Celanese Corp
PM UN Equity,Philip Morris International Inc
CRM UN Equity,Salesforce Inc
IR UN Equity,Ingersoll Rand Inc
HII UN Equity,Huntington Ingalls Industries Inc
MET UN Equity,MetLife Inc
TPR UN Equity,Tapestry Inc
AMP UN Equity,Ameriprise Financial Inc
ZBRA UW Equity,Zebra Technologies Corp
CBRE UN Equity,CBRE Group Inc
MA UN Equity,Mastercard Inc
KMX UN Equity,CarMax Inc
ICE UN Equity,Intercontinental Exchange Inc
SW UN Equity,Smurfit WestRock PLC
FIS UN Equity,Fidelity National Information Services Inc
CMG UN Equity,Chipotle Mexican Grill Inc
WYNN UW Equity,Wynn Resorts Ltd
RF UN Equity,Regions Financial Corp
BKR UW Equity,Baker Hughes Co
EXPE UW Equity,Expedia Group Inc
LDOS UN Equity,Leidos Holdings Inc
GOOG UW Equity,Alphabet Inc
DFS UN Equity,Discover Financial Services
V UN Equity,Visa Inc
MAA UN Equity,Mid-America Apartment Communities Inc
MPC UN Equity,Marathon Petroleum Corp
AMD UW Equity,Advanced Micro Devices Inc
RMD UN Equity,ResMed Inc
MTD UN Equity,Mettler-Toledo International Inc
J UN Equity,Jacobs Solutions Inc
CPRT UW Equity,Copart Inc
ALB UN Equity,Albemarle Corp
CSGP UW Equity,CoStar Group Inc
WAB UN Equity,Westinghouse Air Brake Technologies Corp
WDC UW Equity,Western Digital Corp
PEP UW Equity,PepsiCo Inc
TEL UN Equity,TE Connectivity PLC
PANW UW Equity,Palo Alto Networks Inc
CHD UN Equity,Church & Dwight Co Inc
FRT UN Equity,Federal Realty Investment Trust
MGM UN Equity,MGM Resorts International
AEP UW Equity,American Electric Power Co Inc
PTC UW Equity,PTC Inc
JBHT UW Equity,JB Hunt Transport Services Inc
LRCX UW Equity,Lam Research Corp
GEHC UW Equity,GE HealthCare Technologies Inc
VRTX UW Equity,Vertex Pharmaceuticals Inc
AMCR UN Equity,Amcor PLC
META UW Equity,Meta Platforms Inc
TMUS UW Equity,T-Mobile US Inc
URI UN Equity,United Rentals Inc
ARE UN Equity,Alexandria Real Estate Equities Inc
DAL UN Equity,Delta Air Lines Inc
STX UW Equity,Seagate Technology Holdings PLC
NWS UW Equity,News Corp
CNC UN Equity,Centene Corp
PYPL UW Equity,PayPal Holdings Inc
TSLA UW Equity,Tesla Inc
ACGL UW Equity,Arch Capital Group Ltd
DOW UN Equity,Dow Inc
GEV UN Equity,GE Vernova Inc
NWSA UW Equity,News Corp
EXC UW Equity,Exelon Corp
GPN UN Equity,Global Payments Inc
BG UN Equity,Bunge Global SA
DECK UN Equity,Deckers Outdoor Corp
WDAY UW Equity,Workday Inc
ZTS UN Equity,Zoetis Inc
DLR UN Equity,Digital Realty Trust Inc
EQIX UW Equity,Equinix Inc
LVS UN Equity,Las Vegas Sands Corp
MOH UN Equity,Molina Healthcare Inc
